fecha,licenciataria,demanda_millones_m3d
2021-01-01,MetroGAS,1.9367
2021-01-01,Naturgy NOA,0.8
2021-01-01,Camuzzi Gas del Sur,2.837334
2021-01-01,Camuzzi Gas Pampeana,1.452821
2021-01-01,Naturgy BAN,1.67
2021-01-01,Litoral Gas,0.109184
2021-01-01,GasNea,0.059874
2021-01-01,Distribuidora de Gas Cuyana,0.477599
2021-01-01,Distribuidora de Gas del Centro,0.348575
2021-01-02,Litoral Gas,0.59761
2021-01-02,Naturgy BAN,2.08
2021-01-02,GasNea,0.015074
2021-01-02,Camuzzi Gas Pampeana,1.606408
2021-01-02,MetroGAS,2.3027
2021-01-02,Naturgy NOA,1.08
2021-01-02,Distribuidora de Gas Cuyana,0.661306
2021-01-02,Distribuidora de Gas del Centro,0.733316
2021-01-02,Camuzzi Gas del Sur,3.110143
2021-01-03,Camuzzi Gas Pampeana,1.856073
2021-01-03,Litoral Gas,0.625969
2021-01-03,Camuzzi Gas del Sur,2.906955
2021-01-03,GasNea,0.200729
2021-01-03,Naturgy NOA,1.07
2021-01-03,Naturgy BAN,2.21
2021-01-03,Distribuidora de Gas Cuyana,0.732161
2021-01-03,MetroGAS,2.1974
2021-01-03,Distribuidora de Gas del Centro,0.988342
2021-01-04,Distribuidora de Gas del Centro,0.947013
2021-01-04,Litoral Gas,0.897406
2021-01-04,MetroGAS,2.7399
2021-01-04,Naturgy BAN,2.73
2021-01-04,Distribuidora de Gas Cuyana,0.914576
2021-01-04,Naturgy NOA,1.13
2021-01-04,GasNea,0.175961
2021-01-04,Camuzzi Gas del Sur,3.237421
2021-01-04,Camuzzi Gas Pampeana,1.796616
2021-01-05,Camuzzi Gas Pampeana,2.398182
2021-01-05,MetroGAS,2.9453
2021-01-05,Naturgy BAN,2.62
2021-01-05,GasNea,0.095512
2021-01-05,Distribuidora de Gas Cuyana,1.06145
2021-01-05,Camuzzi Gas del Sur,3.115766
2021-01-05,Naturgy NOA,1.26
2021-01-05,Distribuidora de Gas del Centro,1.089616
2021-01-05,Litoral Gas,0.994256
2021-01-06,Naturgy NOA,1.28
2021-01-06,Distribuidora de Gas Cuyana,1.337866
2021-01-06,GasNea,0.11006
2021-01-06,MetroGAS,3.4087
2021-01-06,Litoral Gas,1.047534
2021-01-06,Camuzzi Gas del Sur,2.799769
2021-01-06,Distribuidora de Gas del Centro,1.107937
2021-01-06,Camuzzi Gas Pampeana,2.385328
2021-01-06,Naturgy BAN,2.85
2021-01-07,GasNea,0.159324
2021-01-07,Distribuidora de Gas Cuyana,1.147069
2021-01-07,Litoral Gas,0.90082
2021-01-07,Naturgy BAN,2.96
2021-01-07,Camuzzi Gas Pampeana,2.060756
2021-01-07,MetroGAS,3.2169
2021-01-07,Camuzzi Gas del Sur,3.385151
2021-01-07,Distribuidora de Gas del Centro,1.087623
2021-01-07,Naturgy NOA,1.28
2021-01-08,Camuzzi Gas Pampeana,2.202018
2021-01-08,Distribuidora de Gas Cuyana,1.148957
2021-01-08,Litoral Gas,0.996925
2021-01-08,Camuzzi Gas del Sur,3.007504
2021-01-08,Naturgy NOA,1.31
2021-01-08,Distribuidora de Gas del Centro,0.878771
2021-01-08,GasNea,0.173384
2021-01-08,Naturgy BAN,2.84
2021-01-08,MetroGAS,2.8383
2021-01-09,Naturgy NOA,1.26
2021-01-09,Naturgy BAN,2.7
2021-01-09,MetroGAS,2.8962
2021-01-09,Camuzzi Gas Pampeana,2.367683
2021-01-09,GasNea,0.163683
2021-01-09,Litoral Gas,0.852941
2021-01-09,Distribuidora de Gas Cuyana,1.10825
2021-01-09,Distribuidora de Gas del Centro,0.880207
2021-01-09,Camuzzi Gas del Sur,3.483345
2021-01-10,Distribuidora de Gas del Centro,0.872369
2021-01-10,Distribuidora de Gas Cuyana,0.945318
2021-01-10,Naturgy BAN,2.38
2021-01-10,MetroGAS,2.1804
2021-01-10,Camuzzi Gas del Sur,3.716931
2021-01-10,Naturgy NOA,1.28
2021-01-10,Camuzzi Gas Pampeana,2.09032
2021-01-10,GasNea,0.122136
2021-01-10,Litoral Gas,0.67363
2021-01-11,Naturgy NOA,1.29
2021-01-11,Camuzzi Gas Pampeana,2.327644
2021-01-11,Camuzzi Gas del Sur,4.628629
2021-01-11,MetroGAS,3.1877
2021-01-11,Distribuidora de Gas del Centro,0.890841
2021-01-11,Naturgy BAN,3.28
2021-01-11,GasNea,0.14162
2021-01-11,Distribuidora de Gas Cuyana,1.080348
2021-01-11,Litoral Gas,1.040631
2021-01-12,Distribuidora de Gas Cuyana,1.174818
2021-01-12,Naturgy BAN,3.58
2021-01-12,Distribuidora de Gas del Centro,0.971404
2021-01-12,GasNea,0.211175
2021-01-12,Camuzzi Gas del Sur,4.641745
2021-01-12,Camuzzi Gas Pampeana,2.309388
2021-01-12,Litoral Gas,1.078829
2021-01-12,Naturgy NOA,1.28
2021-01-12,MetroGAS,3.5498
2021-01-13,Distribuidora de Gas del Centro,0.854388
2021-01-13,Naturgy NOA,1.28
2021-01-13,MetroGAS,3.0347
2021-01-13,Camuzzi Gas Pampeana,2.073832
2021-01-13,Camuzzi Gas del Sur,3.968353
2021-01-13,GasNea,0.196813
2021-01-13,Distribuidora de Gas Cuyana,1.019291
2021-01-13,Litoral Gas,1.037547
2021-01-13,Naturgy BAN,3.16
2021-01-14,Camuzzi Gas del Sur,3.23286
2021-01-14,Litoral Gas,1.238374
2021-01-14,MetroGAS,3.3468
2021-01-14,GasNea,0.178312
2021-01-14,Naturgy BAN,3.5
2021-01-14,Naturgy NOA,1.28
2021-01-14,Distribuidora de Gas del Centro,0.97553
2021-01-14,Camuzzi Gas Pampeana,2.412831
2021-01-14,Distribuidora de Gas Cuyana,1.13905
2021-01-15,MetroGAS,3.7312
2021-01-15,Distribuidora de Gas Cuyana,1.050594
2021-01-15,Distribuidora de Gas del Centro,0.983184
2021-01-15,Camuzzi Gas del Sur,3.63178
2021-01-15,Naturgy BAN,3.4
2021-01-15,Litoral Gas,1.48492
2021-01-15,GasNea,0.127806
2021-01-15,Naturgy NOA,1.38
2021-01-15,Camuzzi Gas Pampeana,2.092328
2021-01-16,Naturgy NOA,1.36
2021-01-16,Camuzzi Gas Pampeana,2.193221
2021-01-16,Distribuidora de Gas Cuyana,1.189832
2021-01-16,Naturgy BAN,2.77
2021-01-16,Distribuidora de Gas del Centro,1.123696
2021-01-16,Litoral Gas,1.233476
2021-01-16,Camuzzi Gas del Sur,3.539221
2021-01-16,GasNea,0.145405
2021-01-16,MetroGAS,3.2196
2021-01-17,Camuzzi Gas del Sur,3.296749
2021-01-17,Camuzzi Gas Pampeana,2.716861
2021-01-17,Distribuidora de Gas del Centro,0.983919
2021-01-17,Naturgy NOA,1.39
2021-01-17,Naturgy BAN,2.6
2021-01-17,Distribuidora de Gas Cuyana,0.835836
2021-01-17,GasNea,0.207159
2021-01-17,MetroGAS,2.9442
2021-01-17,Litoral Gas,1.02692
2021-01-18,Camuzzi Gas Pampeana,2.032088
2021-01-18,Litoral Gas,1.159278
2021-01-18,GasNea,0.168999
2021-01-18,Naturgy NOA,1.36
2021-01-18,Distribuidora de Gas Cuyana,0.966849
2021-01-18,Camuzzi Gas del Sur,3.122371
2021-01-18,MetroGAS,3.1353
2021-01-18,Distribuidora de Gas del Centro,0.944548
2021-01-18,Naturgy BAN,3.12
2021-01-19,Naturgy BAN,3.11
2021-01-19,GasNea,0.157252
2021-01-19,Distribuidora de Gas Cuyana,0.979211
2021-01-19,MetroGAS,3.1137
2021-01-19,Litoral Gas,1.033399
2021-01-19,Naturgy NOA,1.37
2021-01-19,Camuzzi Gas del Sur,3.521652
2021-01-19,Distribuidora de Gas del Centro,1.030643
2021-01-19,Camuzzi Gas Pampeana,2.084765
2021-01-20,Litoral Gas,0.935861
2021-01-20,Naturgy BAN,2.88
2021-01-20,Camuzzi Gas del Sur,2.428602
2021-01-20,Naturgy NOA,1.37
2021-01-20,Camuzzi Gas Pampeana,1.762029
2021-01-20,Distribuidora de Gas del Centro,0.971613
2021-01-20,Distribuidora de Gas Cuyana,0.948625
2021-01-20,GasNea,0.258299
2021-01-20,MetroGAS,2.9745
2021-01-21,Camuzzi Gas del Sur,2.57877
2021-01-21,MetroGAS,3.1008
2021-01-21,Naturgy BAN,3.03
2021-01-21,Litoral Gas,1.02056
